Anaheim Ducks,Boston Bruins,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Chicago Blackhawks,Colorado Avalanche,Columbus Blue Jackets,Dallas Stars,Detroit Red Wings,Edmonton Oilers,Florida Panthers,Los Angeles Kings,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New York Islanders,New York Rangers,Ottawa Senators,Philadelphia Flyers,Pittsburgh Penguins,San Jose Sharks,Seattle Kraken,St. Louis Blues,Tampa Bay Lightning,Toronto Maple Leafs,Utah Mammoth,Vancouver Canucks,Vegas Golden Knights,Washington Capitals,Winnipeg Jets
Ross Johnston,Alex Steeves,Zach Benson,Connor Zary,Andrei Svechnikov,Teuvo Teravainen,Danil Gushchin,Kent Johnson,Harrison Scott,Lucas Raymond,Matt Savoie,Jack Studnicka,Joel Armia,Kirill Kaprizov,Brendan Gallagher,Filip Forsberg,Lenni Hameenaho,Bo Horvat,J.T. Miller,Jan Jenik,Tyson Foerster,Filip Hallander,Lucas Vanroboys,Shane Wright,Dylan Holloway,Zemgus Girgensons,Lars Eller,Andrew Agozzino,Marco Rossi,Cole Reinhardt,Martin Fehervary,Adam Lowry
Alex Killorn,Pavel Zacha,Jordan Greenway,Blake Coleman,Jordan Staal,Dominic Toninato,Joel Kiviranta,Boone Jenner,Tyler Seguin,Elmer Soderblom,James Hamblin,Carter Verhaeghe,Quinton Byfield,Ryan Hartman,Oliver Kapanen,Erik Haula,Nico Hischier,Emil Heineman,Artemi Panarin,Tim Stutzle,Garnet Hathaway,Bokondji Imama,Alexander Wennberg,Tye Kartye,Jake Neighbours,Gage Goncalves,Dennis Hildeby,Daniil But,Max Sasson,Brandon Saad,Hendrix Lapierre,Nino Niederreiter
Chris Kreider,Viktor Arvidsson,Beck Malenstyn,Joel Farabee,Logan Stankoven,Tyler Bertuzzi,Gabriel Landeskog,Danton Heinen,Sam Steel,James van Riemsdyk,Isaac Howard,Jonah Gadjovich,Adrian Kempe,Vladimir Tarasenko,Patrik Laine,Isaac Ratcliffe,Jack Hughes,Simon Holmstrom,Gabe Perreault,Shane Pinto,Nikita Grebenkin,Kevin Hayes,Igor Chernyshov,Jared McCann,Nathan Walker,Yanni Gourde,Stephen Halliday,Michael Carcone,Arshdeep Bains,Braeden Bowman,Charlie Lindgren,Gustav Nyquist
Sam Colangelo,Tanner Jeannot,Jason Zucker,Samuel Honzek,Shayne Gostisbehere,Andre Burakovsky,Artturi Lehkonen,Damon Severson,Chase Wheatcroft,Alex DeBrincat,Zach Hyman,A.J. Greer,Alex Laferriere,Danila Yurov,Alex Newhook,Reid Schaefer,Dougie Hamilton,Anders Lee,Juuso Parssinen,Olle Lycksell,Jacob Gaucher,Ben Kindel,William Eklund,Jordan Eberle,Jonatan Berggren,Jake Guentzel,Dakota Joshua,Lawson Crouse,Jake DeBrusk,Pavel Dorofeyev,Ryan Leonard,Vladislav Namestnikov
Beckett Sennecke,Jeffrey Viel,Justin Danforth,Jonathan Huberdeau,Zemgus Girgensons,Nick Foligno,Taylor Makar,Miles Wood,Jamie Benn,Patrick Kane,Andrew Mangiapane,Noah Gregor,Corey Perry,Mats Zuccarello,Nick Suzuki,Luke Evangelista,Luke Hughes,Kyle MacLean,Matt Rempe,Kurtis MacDermid,Matvei Michkov,Ville Koivunen,Pavol Regenda,Kaapo Kakko,Dalibor Dvorsky,Brayden Point,Calle Jarnkrok,Brandon Tanev,Nils Hoglander,Alexander Holtz,Connor McMichael,Cole Perfetti
Troy Terry,David Pastrnak,Josh Doan,Ryan Lomberg,Mark Jankowski,Nick Lardis,Victor Olofsson,Sean Monahan,Adam Erne,Jacob Bernard-Docker,Quinn Hutson,Brad Marchand,Mikey Anderson,Zach Bogosian,Joe Veleno,Jonathan Marchessault,Johnathan Kovacevic,Jean-Gabriel Pageau,Conor Sheary,Tyler Kleven,Noah Juulsen,Anthony Mantha,Jeff Skinner,Jacob Melanson,Mathieu Joseph,Dominic James,Jan Jenik,Dylan Guenther,Evander Kane,Keegan Kolesar,Alex Ovechkin,Neal Pionk
Frank Vatrano,Jonathan Aspirot,Jack Quinn,Matt Coronato,Jesperi Kotkaniemi,Brett Seney,Valeri Nichushkin,Isac Lundestrom,Jason Robertson,Ben Chiarot,Vasily Podkolzin,Matthew Tkachuk,Cody Ceci,Jonas Brodin,Sammy Blais,Michael McCarron,Juho Lammikko,Kyle Palmieri,Taylor Raddysh,Nikolas Matinpalo,Jett Luchanko,Anthony Mantha,Adam Gaudette,Eeli Tolvanen,Jordan Kyrou,Brandon Hagel,Matthew Knies,JJ Peterka,Drew O'Connor,Mitch Marner,Rasmus Sandin,Mark Scheifele
Radko Gudas,Jordan Harris,Alex Tuch,Adam Klapka,Charles-Alexis Legault,Landon Slaggert,Jason Polin,Mason Marchment,Kyle McDonald,Simon Edvinsson,Sam Poulin,Mackie Samoskevich,Brandt Clarke,Brock Faber,Juraj Slafkovsky,Cole Smith,Zack MacEwen,Adam Pelech,Vincent Trocheck,Jake Sanderson,Travis Konecny,Rutger McGroarty,Collin Graf,Vince Dunn,Jimmy Snuggerud,Nick Paul,Scott Laughton,Kailer Yamamoto,Liam Ohgren,Jonas Rondbjerg,Justin Sourdif,Luke Schenn
Drew Helleson,Henri Jokiharju,Jacob Bryson,Rasmus Andersson,K'Andre Miller,Ilya Mikheyev,Jack Ahcan,Kirill Marchenko,Mikko Rantanen,Travis Hamonic,David Tomasek,Uvis Balinskis,Drew Doughty,Quinn Hughes,Alexandre Texier,Matthew Wood,Timo Meier,Ryan Pulock,Mika Zibanejad,David Perron,Philip Tomasino,Evgeni Malkin,Ryan Reaves,Ryker Evans,Alexey Toropchenko,Pontus Holmberg,Steven Lorentz,Ian Cole,Kiefer Sherwood,Reilly Smith,Dylan Strome,Logan Stanley
Jackson LaCombe,Vladislav Kolyachonok,Bowen Byram,Kevin Bahl,Jordan Martinook,Louis Crevier,Brent Burns,Mathieu Olivier,Kyle Capobianco,Justin Holl,Evan Bouchard,Aaron Ekblad,Brian Dumoulin,Daemon Hunt,Florian Xhekaj,Justin Barron,Marc McLaughlin,Alexander Romanov,Adam Edstrom,Jordan Spence,Owen Tippett,Tommy Novak,Vincent Desharnais,Cale Fleury,Philip Broberg,Nikita Kucherov,Jake McCabe,Nick DeSimone,Brock Boeser,Mark Stone,Trevor van Riemsdyk,Tanner Pearson
Pavel Mintyukov,Hampus Lindholm,Rasmus Dahlin,Jake Bean,Jake Guentzel,Ethan Del Mastro,Samuel Girard,Denton Mateychuk,Thomas Harley,Albert Johansson,Mattias Ekholm,Gustav Forsling,Joel Edmundson,Matt Kiersted,Alexandre Carrier,Nick Blankenburg,Stefan Noesen,Calum Ritchie,Adam Fox,Brady Tkachuk,Roman Schmidt,Owen Pickering,Sam Dickinson,Adam Larsson,Justin Faulk,Scott Sabourin,Bobby McMann,Sean Durzi,Conor Garland,Jeremy Davies,Tom Wilson,Jonathan Toews
Ian Moore,Mason Lohrei,Zac Jones,Hunter Brzustewicz,Alexander Nikishin,Cavan Fitzgerald,Cale Makar,Elvis Merzlikins,Miro Heiskanen,Axel Sandin-Pellikka,Ty Emberson,Seth Jones,Jacob Moverare,Carson Lambos,Noah Dobson,Nicolas Hague,Brett Pesce,Matthew Schaefer,Vladislav Gavrikov,Fabian Zetterlund,Rasmus Ristolainen,Rickard Rakell,Ryan Ellis,Ryan Lindgren,Cam Fowler,Emil Lilleberg,Dakota Mermis,Terrell Goldsmith,Zeev Buium,Noah Hanifin,Aliaksei Protas,Gabriel Vilardi
Jacob Trouba,Charlie McAvoy,Michael Kesselring,Joel Hanley,Noah Philp,Matt Grzelcyk,Sam Malinski,Jet Greaves,Luke Krys,Moritz Seider,Darnell Nurse,Dmitry Kulikov,Anton Forsberg,Jake Middleton,Adam Engstrom,Roman Josi,Ondrej Palat,Maxim Shabanov,Connor Mackey,Carter Yakemchuk,Nick Seeler,Parker Wotherspoon,Mario Ferraro,Joshua Mahura,Matthew Kessel,Victor Hedman,Auston Matthews,Maveric Lamoureux,Derek Forbort,Ben Hutton,Spencer Carbery,Connor Hellebuyck
Olen Zellweger,Andrew Peeke,Zach Metsa,Yan Kuznetsov,Mike Reilly,Wyatt Kaiser,Josh Manson,Ivan Provorov,Esa Lindell,John Gibson,Alec Regula,Niko Mikkola,Darcy Kuemper,Jared Spurgeon,Kaiden Guhle,Nick Perbix,Simon Nemec,Maxim Tsyplakov,Matthew Robertson,Artem Zub,Cam York,Bryan Rust,Vincent Iorio,Brandon Montour,Logan Mailloux,Ryan McDonagh,Philippe Myers,Olli Maatta,Filip Hronek,Kaedan Korczak,,Scott Arniel
Lukas Dostal,Victor Soderstrom,Owen Power,Brayden Pachal,Taylor Hall,Artyom Levshunov,Ilya Solovyov,Cole Sillinger,Nils Lundkvist,Cam Talbot,Spencer Stastney,Jeff Petry,Erik Portillo,Filip Gustavsson,Lane Hutson,Brady Skjei,Colton White,David Rittich,Braden Schneider,Leevi Merilainen,Trevor Zegras,Ryan Shea,John Klingberg,Jamie Oleksiak,Colton Parayko,J.J. Moser,William Nylander,John Marino,Pierre-Olivier Joseph,Jeremy Lauzon,,
Petr Mrazek,Nikita Zadorov,Mattias Samuelsson,Zayne Parekh,Jaccob Slavin,Connor Murphy,Devon Toews,Zach Werenski,Ilya Lyubushkin,Todd McLellan,Riley Stillman,Donovan Sebrango,Jim Hiller,Jesper Wallstedt,Mike Matheson,Adam Wilsby,Luke Glendening,Ilya Sorokin,Carson Soucy,Hunter Shepard,Dan Vladar,Jack St. Ivany,Nick Leddy,Joey Daccord,Calle Rosen,Darren Raddysh,Nicholas Robertson,Nate Schmidt,Tyler Myers,Brayden McNabb,,
Joel Quenneville,Joonas Korpisalo,Conor Timmins,MacKenzie Weegar,Josiah Slavin,Alex Vlasic,Mackenzie Blackwood,Dean Evason,Alexander Petrovic,,Jake Walman,Sergei Bobrovsky,,John Hynes,Jayden Struble,Justus Annunen,Jacob Markstrom,Semyon Varlamov,Urho Vaakanainen,Linus Ullmark,Rick Tocchet,Alex Stalock,Timothy Liljegren,Philipp Grubauer,Tyler Tucker,Ethan Samson,Morgan Rielly,Mikhail Sergachev,Elias N. Pettersson,Jaycob Megna,,
,Jeremy Swayman,Colten Ellis,Devin Cooley,Sean Walker,Spencer Knight,Trent Miner,,Trey Taylor,,Connor Ingram,Daniil Tarasov,,,Arber Xhekaj,Juuse Saros,Sheldon Keefe,Patrick Roy,Jonathan Quick,Travis Green,,Dan Muse,Shakir Mukhamadullin,Matt Murray,Jordan Binnington,Jonas Johansson,Jacob Quillan,Colten McIntyre,Marcus Pettersson,Shea Theodore,,
,Marco Sturm,Alexandar Georgiev,Dustin Wolf,Nikolaj Ehlers,Arvid Soderblom,Scott Wedgewood,,Casey DeSmith,,Tristan Jarry,Paul Maurice,,,Jakub Dobes,Andrew Brunette,,,Igor Shesterkin,,,,Dmitry Orlov,Lane Lambert,Joel Hofer,Andrei Vasilevskiy,Nicolas Roy,Anson Thornton,Tom Willander,Zach Whitecloud,,
,,Ukko-Pekka Luukkonen,Ryan Huska,Eric Robinson,Mitchell Weeks,Jared Bednar,,Jake Oettinger,,Calvin Pickard,,,,Jacob Fowler,,,,Mike Sullivan,,,,Yaroslav Askarov,,Jim Montgomery,Jon Cooper,Troy Stecher,Vitek Vanecek,Thatcher Demko,Carter Hart,,
,,Alex Lyon,,Rod Brind'Amour,Jeff Blashill,,,Glen Gulutzan,,Kris Knoblauch,,,,Kaapo Kahkonen,,,,,,,,Justin Kowalkoski,,,,Shane Pinto,Karel Vejmelka,Kevin Lankinen,Adin Hill,,
,,Lindy Ruff,,,,,,,,,,,,Sam Montembeault,,,,,,,,Alex Nedeljkovic,,,,John Tavares,Andre Tourigny,Nikita Tolopilo,Akira Schmid,,
,,,,,,,,,,,,,,Martin St. Louis,,,,,,,,Carey Price,,,,Chris Tanev,,Adam Foote,Jesper Vikman,,
,,,,,,,,,,,,,,,,,,,,,,Ryan Warsofsky,,,,Tim Stutzle,,,Bruce Cassidy,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Artem Zub,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Craig Berube,,,,,
